city,name,displayName,region,starRating,userRating,numReviews,userRatingInfo,latitude,longitude,hotelFeatures,prices
Jakarta,The Sultan Hotel & Residence Jakarta,The Sultan Hotel Jakarta,"Senayan, Jakarta",5.0,8.6,7247.0,Mengesankan,-6.216947,106.809331,"Bayar saat Check-in, Restoran show cooking, Winery, Dapur kecil, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",7175300
Jakarta,Aryaduta Suite Semanggi,Aryaduta Suite Semanggi,"Karet Semanggi, Jakarta",4.0,8.5,4882.0,Mengesankan,-6.219991301063097,106.81611743684005,"Squash, Area main anak, Tennis, Layanan pijat, Dapur kecil, Pusat kebugaran, Sauna, Bar",7202361
Jakarta,Aloft South Jakarta,Aloft South Jakarta,"Cilandak Timur, Jakarta",4.0,8.9,467.0,Mengesankan,-6.291784031,106.8162942,"Bar, Sewa mobil, Pusat kebugaran, Bilyar, Bar di kolam renang, Bar",3884100
Jakarta,"The Langham, Jakarta","The Langham, Jakarta","Senayan, Jakarta",5.0,8.8,340.0,Mengesankan,-6.227097,106.8063958,"Restoran show cooking, Aktivitas outdoor, Klub kesehatan, Pusat kebugaran, Fasilitas bisnis, Sauna, Pusat kebugaran, Bar",23490093
Jakarta,"Hotel Mulia Senayan, Jakarta","Hotel Mulia Senayan, Jakarta","Senayan, Jakarta",5.0,8.7,1540.0,Mengesankan,-6.215131,106.797045,"Bar, Tennis, Fasilitas bisnis, Lapangan tennis outdoor, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran",16334999
Jakarta,ASTON Priority Simatupang & Conference Center,ASTON Priority Simatupang & Conference Center,"Kebagusan, Jakarta",4.0,8.6,7246.0,Mengesankan,-6.301503,106.834503,"Layanan pijat, Antar-jemput bandara, Spa, Bar",3943390
Jakarta,Merlynn Park Hotel,Merlynn Park Hotel,"Petojo Utara, Jakarta",5.0,8.6,19249.0,Mengesankan,-6.165894,106.815414,"Tanda khusus bagi tuna netra, Klub kesehatan, Layanan pijat, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",4650000
Jakarta,Ascott Sudirman Jakarta,Ascott Sudirman Jakarta,"Karet Semanggi, Jakarta",5.0,8.6,2200.0,Mengesankan,-6.2215855,106.81968129999996,"Pusat kebugaran, Fasilitas bisnis, Antar-jemput bandara, Pusat kebugaran",10975680
Jakarta,"The Hermitage, a Tribute Portfolio Hotel, Jakarta","The Hermitage, a Tribute Portfolio Hotel, Jakarta","Menteng, Jakarta",5.0,8.9,369.0,Mengesankan,-6.198188,106.838031,"Karaoke, Handuk pantai, Layanan pijat, Pusat kebugaran, Teras rooftop, Fasilitas bisnis, Bar di kolam renang, Bar",13380180
Jakarta,Mercure Convention Center Ancol,Mercure Convention Center Ancol - CHSE Certified,"Ancol, Jakarta",4.0,8.4,7570.0,Mengesankan,-6.122196,106.836323,"Area main anak, Check-out ekspress",10945000
