lowRate,cheapestRate_allNights_baseFare,cheapestRate_allNights_fees,cheapestRate_allNights_taxes,cheapestRate_allNights_totalFare,cheapestRate_perNight_baseFare,cheapestRate_perNight_fees,cheapestRate_perNight_taxes,cheapestRate_perNight_totalFare,originalRate_allNights_baseFare,originalRate_allNights_fees,originalRate_allNights_taxes,originalRate_allNights_totalFare,originalRate_perNight_baseFare,originalRate_perNight_fees,originalRate_perNight_taxes,originalRate_perNight_totalFare
7175300,5930000,0,1245300,7175300,1976666,0.0,415100.0,2391767,6300000,0,1323000,7623000,2100000,0.0,441000.0,2541000
7202361,5952365,0,1249996,7202361,1984121,0.0,416665.33,2400787,6196051,0,1301171,7497222,2065350,0.0,433723.67,2499074
3884100,3210000,674100,0,3884100,1070000,224700.0,0.0,1294700,4280000,898800,0,5178800,1426666,299600.0,0.0,1726267
23490093,19413300,0,4076793,23490093,6471100,0.0,1358931.0,7830031,25884400,0,5435724,31320124,8628133,0.0,1811908.0,10440041
16334999,13499999,0,2835000,16334999,4499999,0.0,945000.0,5445000,17999999,0,3780000,21779999,5999999,0.0,1260000.0,7260000
3943390,3259000,0,684390,3943390,1086333,0.0,228130.0,1314463,4345333,0,912520,5257853,1448444,0.0,304173.33,1752618
4650000,3842975,0,807025,4650000,1280991,0.0,269008.33,1550000,5123967,0,1076033,6200000,1707989,0.0,358677.67,2066667
10975680,9572120,0,1403560,10975680,3190706,0.0,467853.33,3658560,12762827,0,1871413,14634240,4254275,0.0,623804.33,4878080
13380180,11058000,2322180,0,13380180,3686000,774060.0,0.0,4460060,14744000,3096240,0,17840240,4914666,1032080.0,0.0,5946747
10945000,9045455,1899545,0,10945000,3015151,633181.67,0.0,3648333,12060607,2532727,0,14593334,4020202,844242.33,0.0,4864445
7716002,6376861,0,1339141,7716002,2125620,0.0,446380.33,2572001,8502481,0,1785522,10288003,2834160,0.0,595174.0,3429334
8075000,6673554,0,1401446,8075000,2224518,0.0,467148.67,2691667,7231406,0,1518594,8750000,2410468,0.0,506198.0,2916667
3316000,2740495,0,575505,3316000,913498,0.0,191835.0,1105333,3653993,0,767340,4421333,1217997,0.0,255780.0,1473778
3018000,2494215,0,523785,3018000,831405,0.0,174595.0,1006000,3325620,0,698380,4024000,1108540,0.0,232793.33,1341333
24502500,20250000,4252500,0,24502500,6750000,1417500.0,0.0,8167500,27000000,5670000,0,32670000,9000000,1890000.0,0.0,10890000
28132500,23250000,0,4882500,28132500,7750000,0.0,1627500.0,9377500,31000000,0,6510000,37510000,10333333,0.0,2170000.0,12503333
6480000,5355372,0,1124628,6480000,1785124,0.0,374876.0,2160000,7140496,0,1499504,8640000,2380165,0.0,499834.67,2880000
3400000,2809917,0,590083,3400000,936639,0.0,196694.33,1133333,3746556,0,786777,4533333,1248852,0.0,262259.0,1511111
4389000,3627273,0,761727,4389000,1209091,0.0,253909.0,1463000,4836364,0,1015636,5852000,1612121,0.0,338545.33,1950667
9027057,7460377,0,1566680,9027057,2486792,0.0,522226.67,3009019,13150655,0,0,13150655,4383551,0.0,0.0,4383552
9958300,8230000,1728300,0,9958300,2743333,576100.0,0.0,3319433,10973333,2304400,0,13277733,3657777,768133.33,0.0,4425911
3431560,2836000,0,595560,3431560,945333,0.0,198520.0,1143853,3781333,0,794080,4575413,1260444,0.0,264693.33,1525138
5820000,4809917,0,1010083,5820000,1603305,0.0,336694.33,1940000,8016530,0,1683470,9700000,2672176,0.0,561156.67,3233333
3050000,2520662,0,529338,3050000,840220,0.0,176446.0,1016667,3360883,0,705784,4066667,1120294,0.0,235261.33,1355556
9234378,7631718,0,1602660,9234378,2543906,0.0,534220.0,3078126,8479685,0,1780735,10260420,2826561,0.0,593578.33,3420140
10326140,8534000,1792140,0,10326140,2844666,597380.0,0.0,3442047,11378667,2389520,0,13768187,3792889,796506.67,0.0,4589396
8165000,6747934,0,1417066,8165000,2249311,0.0,472355.33,2721667,8997245,0,1889422,10886667,2999081,0.0,629807.33,3628889
2930000,2421487,0,508513,2930000,807162,0.0,169504.33,976667,3228649,0,678018,3906667,1076216,0.0,226006.0,1302222
16372221,13956986,1150134,1265101,16372221,4652328,383378.0,421700.33,5457407,18609367,1533564,1686748,21829679,6203122,511188.0,562249.33,7276560
3670000,3033057,0,636943,3670000,1011019,0.0,212314.33,1223333,4044076,0,849257,4893333,1348025,0.0,283085.67,1631111
7260000,6000000,1260000,0,7260000,2000000,420000.0,0.0,2420000,8000000,1680000,0,9680000,2666666,560000.0,0.0,3226667
6777833,5601515,0,1176318,6777833,1867171,0.0,392106.0,2259278,6015515,0,1263258,7278773,2005171,0.0,421086.0,2426258
4270000,3528925,0,741075,4270000,1176308,0.0,247025.0,1423333,4705233,0,988100,5693333,1568411,0.0,329366.67,1897778
3165336,2698108,222571,244657,3165336,899369,74190.33,81552.33,1055112,3597478,296814,326260,4220552,1199159,98938.0,108753.33,1406851
3950000,3264463,0,685537,3950000,1088154,0.0,228512.33,1316667,4352617,0,914050,5266667,1450872,0.0,304683.33,1755556
19420500,16050000,3370500,0,19420500,5350000,1123500.0,0.0,6473500,21400000,4494000,0,25894000,7133333,1498000.0,0.0,8631333
3640354,3008557,0,631797,3640354,1002852,0.0,210599.0,1213451,3166902,0,665050,3831952,1055634,0.0,221683.33,1277317
2573438,2126808,0,446630,2573438,708936,0.0,148876.67,857813,2417356,0,507644,2925000,805785,0.0,169214.67,975000
2904000,2400000,0,504000,2904000,800000,0.0,168000.0,968000,3200000,0,672000,3872000,1066666,0.0,224000.0,1290667
3204840,2648629,0,556211,3204840,882876,0.0,185403.67,1068280,3531505,0,741615,4273120,1177168,0.0,247205.0,1424373
2525000,2086777,0,438223,2525000,695592,0.0,146074.33,841667,2272727,0,477273,2750000,757575,0.0,159091.0,916667
4704539,4010511,330489,363539,4704539,1336837,110163.0,121179.67,1568180,5347348,440600,484770,6272718,1782449,146866.67,161590.0,2090906
2142424,1770600,371824,0,2142424,590200,123941.33,0.0,714141,2360800,495765,0,2856565,786933,165255.0,0.0,952188
1741500,1439256,0,302244,1741500,479752,0.0,100748.0,580500,1919008,0,402992,2322000,639669,0.0,134330.67,774000
4406700,3641900,0,764800,4406700,1213966,0.0,254933.33,1468900,3748760,0,787240,4536000,1249586,0.0,262413.33,1512000
5360000,4429753,0,930247,5360000,1476584,0.0,310082.33,1786667,5906337,0,1240330,7146667,1968779,0.0,413443.33,2382222
3033000,2506611,0,526389,3033000,835537,0.0,175463.0,1011000,3342148,0,701852,4044000,1114049,0.0,233950.67,1348000
9958300,8230000,1728300,0,9958300,2743333,576100.0,0.0,3319433,10973333,2304400,0,13277733,3657777,768133.33,0.0,4425911
2735000,2260331,0,474669,2735000,753443,0.0,158223.0,911667,3013775,0,632892,3646667,1004591,0.0,210964.0,1215556
4748040,3924000,824040,0,4748040,1308000,274680.0,0.0,1582680,5232000,1098720,0,6330720,1744000,366240.0,0.0,2110240
9970400,8240000,1730400,0,9970400,2746666,576800.0,0.0,3323467,10986667,2307200,0,13293867,3662222,769066.67,0.0,4431289
5353380,4424280,0,929100,5353380,1474760,0.0,309700.0,1784460,5899040,0,1238800,7137840,1966346,0.0,412933.33,2379280
2735003,2260333,0,474670,2735003,753444,0.0,158223.33,911668,3013777,0,632894,3646671,1004592,0.0,210964.67,1215557
1750000,1446281,0,303719,1750000,482093,0.0,101239.67,583333,1928375,0,404958,2333333,642791,0.0,134986.0,777778
3480000,2876034,0,603966,3480000,958678,0.0,201322.0,1160000,3834712,0,805288,4640000,1278237,0.0,268429.33,1546667
4875000,4028925,0,846075,4875000,1342975,0.0,282025.0,1625000,5371900,0,1128100,6500000,1790633,0.0,376033.33,2166667
15960534,13190520,2770014,0,15960534,4396840,923338.0,0.0,5320178,17587360,3693352,0,21280712,5862453,1231117.33,0.0,7093571
4208542,3478134,730408,0,4208542,1159378,243469.33,0.0,1402847,4637512,973877,0,5611389,1545837,324625.67,0.0,1870463
3950000,3264463,0,685537,3950000,1088154,0.0,228512.33,1316667,4352617,0,914050,5266667,1450872,0.0,304683.33,1755556
5254446,4342518,0,911928,5254446,1447506,0.0,303976.0,1751482,5790024,0,1215904,7005928,1930008,0.0,405301.33,2335309
6679200,5520000,1159200,0,6679200,1840000,386400.0,0.0,2226400,7360000,1545600,0,8905600,2453333,515200.0,0.0,2968533
6059556,5007897,0,1051659,6059556,1669299,0.0,350553.0,2019852,5434344,0,1141212,6575556,1811448,0.0,380404.0,2191852
9195999,7599999,1596000,0,9195999,2533333,532000.0,0.0,3065333,10133332,2128000,0,12261332,3377777,709333.33,0.0,4087111
15540985,13248235,1091711,1201039,15540985,4416078,363903.67,400346.33,5180328,17664262,1455563,1601385,20721210,5888087,485187.67,533795.0,6907070
6405900,5294132,0,1111768,6405900,1764710,0.0,370589.33,2135300,7058843,0,1482357,8541200,2352947,0.0,494119.0,2847067
4235002,3500000,735002,0,4235002,1166666,245000.67,0.0,1411667,4666667,980003,0,5646670,1555555,326667.67,0.0,1882223
2780000,2297521,0,482479,2780000,765840,0.0,160826.33,926667,3063361,0,643305,3706666,1021120,0.0,214435.0,1235555
2200000,1818181,0,381819,2200000,606060,0.0,127273.0,733333,2424241,0,509092,2933333,808080,0.0,169697.33,977778
4677598,3987643,328610,361345,4677598,1329214,109536.67,120448.33,1559199,5316805,438094,481794,6236693,1772268,146031.33,160598.0,2078898
9950000,8223141,0,1726859,9950000,2741047,0.0,575619.67,3316667,10000000,0,2100000,12100000,3333333,0.0,700000.0,4033333
