city,id,name,displayName,region,starRating,userRating,numReviews,userRatingInfo
Jakarta,62303,The Sultan Hotel & Residence Jakarta,The Sultan Hotel Jakarta,"Senayan, Jakarta",5.0,8.6,7247.0,Mengesankan
Jakarta,2000000141144,Aryaduta Suite Semanggi,Aryaduta Suite Semanggi,"Karet Semanggi, Jakarta",4.0,8.5,4882.0,Mengesankan
Jakarta,9000000952972,Aloft South Jakarta,Aloft South Jakarta,"Cilandak Timur, Jakarta",4.0,8.9,467.0,Mengesankan
Jakarta,9000000971405,"The Langham, Jakarta","The Langham, Jakarta","Senayan, Jakarta",5.0,8.8,340.0,Mengesankan
Jakarta,4755,"Hotel Mulia Senayan, Jakarta","Hotel Mulia Senayan, Jakarta","Senayan, Jakarta",5.0,8.7,1540.0,Mengesankan
Jakarta,3000010007126,ASTON Priority Simatupang & Conference Center,ASTON Priority Simatupang & Conference Center,"Kebagusan, Jakarta",4.0,8.6,7246.0,Mengesankan
Jakarta,182137,Merlynn Park Hotel,Merlynn Park Hotel,"Petojo Utara, Jakarta",5.0,8.6,19249.0,Mengesankan
Jakarta,3000020014445,Ascott Sudirman Jakarta,Ascott Sudirman Jakarta,"Karet Semanggi, Jakarta",5.0,8.6,2200.0,Mengesankan
Jakarta,1000000449987,"The Hermitage, a Tribute Portfolio Hotel, Jakarta","The Hermitage, a Tribute Portfolio Hotel, Jakarta","Menteng, Jakarta",5.0,8.9,369.0,Mengesankan
Jakarta,49739,Mercure Convention Center Ancol,Mercure Convention Center Ancol - CHSE Certified,"Ancol, Jakarta",4.0,8.4,7570.0,Mengesankan
Jakarta,7584,Hotel Borobudur Jakarta,Hotel Borobudur Jakarta,"Pasar Baru, Jakarta",5.0,8.6,7103.0,Mengesankan
Jakarta,3000010000077,Discovery Ancol,Discovery Ancol,"Ancol, Jakarta",4.0,8.2,5754.0,Nyaman
Jakarta,3000020007376,Yuan Garden Pasar Baru,Yuan Garden Pasar Baru,"Pasar Baru, Jakarta",4.0,8.5,3213.0,Mengesankan
Jakarta,71864,Hotel Menara Peninsula,Menara Peninsula Hotel Jakarta,"Slipi, Jakarta",4.0,8.4,9253.0,Mengesankan
Jakarta,3000010023329,"The Ritz-Carlton Jakarta, Pacific Place Hotel","The Ritz-Carlton Jakarta, Pacific Place Hotel","Senayan, Jakarta",5.0,9.0,483.0,Mengesankan
Jakarta,3000020014186,Grand Hyatt Jakarta,Grand Hyatt Jakarta,"Thamrin, Jakarta",5.0,8.7,2059.0,Mengesankan
Jakarta,9076,Century Park Hotel,Century Park Hotel,"Senayan, Jakarta",4.0,8.6,6830.0,Mengesankan
Jakarta,1000000476765,Best Western Premier The Hive,Best Western Premier The Hive,"Cawang, Jakarta",5.0,8.4,11091.0,Mengesankan
Jakarta,8126,Hotel Ciputra Jakarta managed by Swiss-Belhotel International,Hotel Ciputra Jakarta managed by Swiss-Belhotel International,"Tanjung Duren, Jakarta",4.0,8.5,9261.0,Mengesankan
Jakarta,546236,DoubleTree by Hilton Jakarta - Diponegoro,DoubleTree by Hilton Jakarta - Diponegoro,"Cikini, Jakarta",5.0,8.8,3244.0,Mengesankan
Jakarta,1000000545168,Sheraton Grand Jakarta Gandaria City Hotel,Sheraton Grand Jakarta Gandaria City Hotel,"Kebayoran Lama Utara, Jakarta",5.0,8.9,1579.0,Mengesankan
Jakarta,48666,Millennium Hotel Sirih Jakarta,Millennium Hotel Sirih Jakarta,"Tanah Abang, Jakarta",4.0,8.6,4969.0,Mengesankan
Jakarta,3000010007726,Teraskita Hotel Jakarta managed by Dafam,Teraskita Hotel Jakarta managed by Dafam,"Cawang, Jakarta",4.0,8.6,9335.0,Mengesankan
Jakarta,2000000098393,Lumire Hotel & Convention Center,Lumire Hotel & Convention Center,"Senen, Jakarta",4.0,8.5,8924.0,Mengesankan
Jakarta,3000010007129,Royal Kuningan Hotel,Royal Kuningan Hotel,"Rasuna Said, Jakarta",4.0,8.5,6678.0,Mengesankan
Jakarta,286716,Pullman Jakarta Central Park,Pullman Jakarta Central Park,"Tanjung Duren, Jakarta",5.0,8.5,2590.0,Mengesankan
Jakarta,72900,Manhattan Hotel Jakarta,Manhattan Hotel Jakarta,"Rasuna Said, Jakarta",5.0,8.3,8621.0,Mengesankan
Jakarta,3000010005467,Swiss-Belinn Simatupang Jakarta,Swiss-Belinn Simatupang Jakarta,"Lebak Bulus, Jakarta",3.0,8.5,7329.0,Mengesankan
Jakarta,4000000956122,InterContinental Hotels JAKARTA PONDOK INDAH,InterContinental Hotels JAKARTA PONDOK INDAH,"Pondok Indah, Jakarta",5.0,8.9,1455.0,Mengesankan
Jakarta,111546,Grand Tropic Suites Hotel,Grand Tropic Suites Hotel,"Tanjung Duren, Jakarta",4.0,8.0,5554.0,Nyaman
Jakarta,950,Le Meridien Jakarta,Le Meridien Jakarta,"Sudirman, Jakarta",5.0,8.7,377.0,Mengesankan
Jakarta,813,Gran Melia Jakarta,Gran Melia Jakarta,"Kuningan, Jakarta",5.0,8.8,1759.0,Mengesankan
Jakarta,3000010010313,Swiss-Belhotel Pondok Indah,Swiss-Belhotel Pondok Indah,"Pondok Indah, Jakarta",4.0,8.5,4538.0,Mengesankan
Jakarta,46085900000,Holiday Inn Express JAKARTA PLUIT CITYGATE,Holiday Inn Express JAKARTA PLUIT CITYGATE,"Pluit, Jakarta",3.0,8.4,5158.0,Mengesankan
Jakarta,148771,Hotel Santika Premiere Slipi Jakarta,Hotel Santika Premiere Slipi Jakarta,"Slipi, Jakarta",4.0,8.6,6308.0,Mengesankan
Jakarta,1000000486214,Fairmont Jakarta,Fairmont Jakarta,"Senayan, Jakarta",5.0,8.9,1045.0,Mengesankan
Jakarta,71938,Redtop Hotel & Convention Center,Redtop Hotel & Convention Center,"Pecenongan, Jakarta",4.0,8.5,4209.0,Mengesankan
Jakarta,3000010015150,Grand Whiz Poins Simatupang Jakarta,Grand Whiz Poins Simatupang Jakarta,"Lebak Bulus, Jakarta",4.0,8.6,9148.0,Mengesankan
Jakarta,74874,Ambhara Hotel,Ambhara Hotel,"Melawai, Jakarta",4.0,8.3,4857.0,Mengesankan
Jakarta,3000010007198,ASTON Pluit Hotel & Residence,ASTON Pluit Hotel & Residence,"Pluit, Jakarta",4.0,8.3,5915.0,Mengesankan
