timestamp|city|checkin|checkout|num_staying_nights|id|name|displayName|region|starRating|userRating|numReviews|userRatingInfo|latitude|longitude|lowRate|highRate|hotelFeatures|hotelSeoUrl|cheapestRate_allNights_baseFare|cheapestRate_allNights_fees|cheapestRate_allNights_taxes|cheapestRate_allNights_totalFare|cheapestRate_perNight_baseFare|cheapestRate_perNight_fees|cheapestRate_perNight_taxes|cheapestRate_perNight_totalFare|originalRate_allNights_baseFare|originalRate_allNights_fees|originalRate_allNights_taxes|originalRate_allNights_totalFare|originalRate_perNight_baseFare|originalRate_perNight_fees|originalRate_perNight_taxes|originalRate_perNight_totalFare
2022-12-29 20:41:15.405526|Jakarta|30-12-2022|02-01-2023|3|62303|The Sultan Hotel & Residence Jakarta|The Sultan Hotel Jakarta|Senayan, Jakarta|5.0|8.6|7247|Mengesankan|-6.216947|106.809331|7175300||Bayar saat Check-in, Restoran show cooking, Winery, Dapur kecil, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar|hotel/indonesia/the-sultan-hotel--residence-jakarta-62303|5930000|0|1245300|7175300|1976666|0.0|415100.0|2391767|6300000|0|1323000|7623000|2100000|0.0|441000.0|2541000
2022-12-29 20:41:15.405705|Jakarta|30-12-2022|02-01-2023|3|2000000141144|Aryaduta Suite Semanggi|Aryaduta Suite Semanggi|Karet Semanggi, Jakarta|4.0|8.5|4882|Mengesankan|-6.219991301063097|106.81611743684005|7202361||Squash, Area main anak, Tennis, Layanan pijat, Dapur kecil, Pusat kebugaran, Sauna, Bar|hotel/indonesia/aryaduta-suite-semanggi-2000000141144|5952365|0|1249996|7202361|1984121|0.0|416665.33|2400787|6196051|0|1301171|7497222|2065350|0.0|433723.67|2499074
2022-12-29 20:41:15.405741|Jakarta|30-12-2022|02-01-2023|3|9000000952972|Aloft South Jakarta|Aloft South Jakarta|Cilandak Timur, Jakarta|4.0|8.9|467|Mengesankan|-6.291784031|106.8162942|3884100||Bar, Sewa mobil, Pusat kebugaran, Bilyar, Bar di kolam renang, Bar|hotel/indonesia/aloft-south-jakarta-9000000952972|3210000|674100|0|3884100|1070000|224700.0|0.0|1294700|4280000|898800|0|5178800|1426666|299600.0|0.0|1726267
2022-12-29 20:41:15.405779|Jakarta|30-12-2022|02-01-2023|3|9000000971405|The Langham, Jakarta|The Langham, Jakarta|Senayan, Jakarta|5.0|8.8|340|Mengesankan|-6.227097|106.8063958|23490093||Restoran show cooking, Aktivitas outdoor, Klub kesehatan, Pusat kebugaran, Fasilitas bisnis, Sauna, Pusat kebugaran, Bar|hotel/indonesia/the-langham-jakarta-9000000971405|19413300|0|4076793|23490093|6471100|0.0|1358931.0|7830031|25884400|0|5435724|31320124|8628133|0.0|1811908.0|10440041
2022-12-29 20:41:15.405806|Jakarta|30-12-2022|02-01-2023|3|4755|Hotel Mulia Senayan, Jakarta|Hotel Mulia Senayan, Jakarta|Senayan, Jakarta|5.0|8.7|1540|Mengesankan|-6.215131|106.797045|16334999||Bar, Tennis, Fasilitas bisnis, Lapangan tennis outdoor, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran|hotel/indonesia/hotel-mulia-senayan-jakarta-4755|13499999|0|2835000|16334999|4499999|0.0|945000.0|5445000|17999999|0|3780000|21779999|5999999|0.0|1260000.0|7260000
2022-12-29 20:41:15.405834|Jakarta|30-12-2022|02-01-2023|3|3000010007126|ASTON Priority Simatupang & Conference Center|ASTON Priority Simatupang & Conference Center|Kebagusan, Jakarta|4.0|8.6|7246|Mengesankan|-6.301503|106.834503|3943390||Layanan pijat, Antar-jemput bandara, Spa, Bar|hotel/indonesia/aston-priority-simatupang--conference-center-3000010007126|3259000|0|684390|3943390|1086333|0.0|228130.0|1314463|4345333|0|912520|5257853|1448444|0.0|304173.33|1752618
2022-12-29 20:41:15.405861|Jakarta|30-12-2022|02-01-2023|3|182137|Merlynn Park Hotel|Merlynn Park Hotel|Petojo Utara, Jakarta|5.0|8.6|19249|Mengesankan|-6.165894|106.815414|4650000||Tanda khusus bagi tuna netra, Klub kesehatan, Layanan pijat, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar|hotel/indonesia/merlynn-park-hotel-182137|3842975|0|807025|4650000|1280991|0.0|269008.33|1550000|5123967|0|1076033|6200000|1707989|0.0|358677.67|2066667
2022-12-29 20:41:15.405894|Jakarta|30-12-2022|02-01-2023|3|3000020014445|Ascott Sudirman Jakarta|Ascott Sudirman Jakarta|Karet Semanggi, Jakarta|5.0|8.6|2200|Mengesankan|-6.2215855|106.81968129999996|10975680||Pusat kebugaran, Fasilitas bisnis, Antar-jemput bandara, Pusat kebugaran|hotel/indonesia/ascott-sudirman-jakarta-3000020014445|9572120|0|1403560|10975680|3190706|0.0|467853.33|3658560|12762827|0|1871413|14634240|4254275|0.0|623804.33|4878080
2022-12-29 20:41:15.405921|Jakarta|30-12-2022|02-01-2023|3|1000000449987|The Hermitage, a Tribute Portfolio Hotel, Jakarta|The Hermitage, a Tribute Portfolio Hotel, Jakarta|Menteng, Jakarta|5.0|8.9|369|Mengesankan|-6.198188|106.838031|13380180||Karaoke, Handuk pantai, Layanan pijat, Pusat kebugaran, Teras rooftop, Fasilitas bisnis, Bar di kolam renang, Bar|hotel/indonesia/the-hermitage-a-tribute-portfolio-hotel-jakarta-1000000449987|11058000|2322180|0|13380180|3686000|774060.0|0.0|4460060|14744000|3096240|0|17840240|4914666|1032080.0|0.0|5946747
2022-12-29 20:41:15.405968|Jakarta|30-12-2022|02-01-2023|3|49739|Mercure Convention Center Ancol|Mercure Convention Center Ancol - CHSE Certified|Ancol, Jakarta|4.0|8.4|7570|Mengesankan|-6.122196|106.836323|10945000||Area main anak, Check-out ekspress|hotel/indonesia/mercure-convention-center-ancol-49739|9045455|1899545|0|10945000|3015151|633181.67|0.0|3648333|12060607|2532727|0|14593334|4020202|844242.33|0.0|4864445
2022-12-29 20:41:15.405998|Jakarta|30-12-2022|02-01-2023|3|7584|Hotel Borobudur Jakarta|Hotel Borobudur Jakarta|Pasar Baru, Jakarta|5.0|8.6|7103|Mengesankan|-6.172478|106.83579|7716002||Badminton, Aerobik, Winery, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar|hotel/indonesia/hotel-borobudur-jakarta-7584|6376861|0|1339141|7716002|2125620|0.0|446380.33|2572001|8502481|0|1785522|10288003|2834160|0.0|595174.0|3429334
2022-12-29 20:41:15.406025|Jakarta|30-12-2022|02-01-2023|3|3000010000077|Discovery Ancol|Discovery Ancol|Ancol, Jakarta|4.0|8.2|5754|Nyaman|-6.125865|106.830982|8075000||Ruang santai, Area main anak, Klub anak, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran|hotel/indonesia/discovery-ancol-3000010000077|6673554|0|1401446|8075000|2224518|0.0|467148.67|2691667|7231406|0|1518594|8750000|2410468|0.0|506198.0|2916667
2022-12-29 20:41:15.406051|Jakarta|30-12-2022|02-01-2023|3|3000020007376|Yuan Garden Pasar Baru|Yuan Garden Pasar Baru|Pasar Baru, Jakarta|4.0|8.5|3213|Mengesankan|-6.163203600688937|106.83275252580643|3316000||Aerobik, Winery, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar|hotel/indonesia/yuan-garden-pasar-baru-3000020007376|2740495|0|575505|3316000|913498|0.0|191835.0|1105333|3653993|0|767340|4421333|1217997|0.0|255780.0|1473778
2022-12-29 20:41:15.406078|Jakarta|30-12-2022|02-01-2023|3|71864|Hotel Menara Peninsula|Menara Peninsula Hotel Jakarta|Slipi, Jakarta|4.0|8.4|9253|Mengesankan|-6.189983|106.797909|3018000||Kolam air panas outdoor, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar|hotel/indonesia/hotel-menara-peninsula-71864|2494215|0|523785|3018000|831405|0.0|174595.0|1006000|3325620|0|698380|4024000|1108540|0.0|232793.33|1341333
2022-12-29 20:41:15.406104|Jakarta|30-12-2022|02-01-2023|3|3000010023329|The Ritz-Carlton Jakarta, Pacific Place Hotel|The Ritz-Carlton Jakarta, Pacific Place Hotel|Senayan, Jakarta|5.0|9.0|483|Mengesankan|-6.223285|106.809681|24502500||Aerobik, Winery, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar|hotel/indonesia/the-ritz-carlton-jakarta-pacific-place-hotel--3000010023329|20250000|4252500|0|24502500|6750000|1417500.0|0.0|8167500|27000000|5670000|0|32670000|9000000|1890000.0|0.0|10890000
2022-12-29 20:41:15.406137|Jakarta|30-12-2022|02-01-2023|3|3000020014186|Grand Hyatt Jakarta|Grand Hyatt Jakarta|Thamrin, Jakarta|5.0|8.7|2059|Mengesankan|-6.192628300000001|106.82246199999997|28132500||Jacuzzi, Tennis, Layanan pijat, Lapangan tennis outdoor, Bar di kolam renang, Sauna, Pusat kebugaran, Bar|hotel/indonesia/grand-hyatt-jakarta-3000020014186|23250000|0|4882500|28132500|7750000|0.0|1627500.0|9377500|31000000|0|6510000|37510000|10333333|0.0|2170000.0|12503333
2022-12-29 20:41:15.406169|Jakarta|30-12-2022|02-01-2023|3|9076|Century Park Hotel|Century Park Hotel|Senayan, Jakarta|4.0|8.6|6830|Mengesankan|-6.223261201271582|106.80296239206541|6480000||Penitipan anak, Sewa mobil, Layanan pijat, Lapangan tennis outdoor, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar|hotel/indonesia/century-park-hotel-9076|5355372|0|1124628|6480000|1785124|0.0|374876.0|2160000|7140496|0|1499504|8640000|2380165|0.0|499834.67|2880000
2022-12-29 20:41:15.406197|Jakarta|30-12-2022|02-01-2023|3|1000000476765|Best Western Premier The Hive|Best Western Premier The Hive|Cawang, Jakarta|5.0|8.4|11091|Mengesankan|-6.245033|106.875336|3400000||Restoran show cooking, Winery, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Perpustakaan, Check-out ekspress, Bar|hotel/indonesia/best-western-premier-the-hive-1000000476765|2809917|0|590083|3400000|936639|0.0|196694.33|1133333|3746556|0|786777|4533333|1248852|0.0|262259.0|1511111
2022-12-29 20:41:15.406224|Jakarta|30-12-2022|02-01-2023|3|8126|Hotel Ciputra Jakarta managed by Swiss-Belhotel International|Hotel Ciputra Jakarta managed by Swiss-Belhotel International|Tanjung Duren, Jakarta|4.0|8.5|9261|Mengesankan|-6.168121|106.786498|4389000||Bayar saat Check-in, Layanan pijat, Bar di kolam renang, Pusat kebugaran, Bar|hotel/indonesia/hotel-ciputra-jakarta-managed-by-swiss-belhotel-international-8126|3627273|0|761727|4389000|1209091|0.0|253909.0|1463000|4836364|0|1015636|5852000|1612121|0.0|338545.33|1950667
2022-12-29 20:41:15.406251|Jakarta|30-12-2022|02-01-2023|3|546236|DoubleTree by Hilton Jakarta - Diponegoro|DoubleTree by Hilton Jakarta - Diponegoro|Cikini, Jakarta|5.0|8.8|3244|Mengesankan|-6.198831|106.843069|9027057||Area main anak, Klub anak, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar|hotel/indonesia/doubletree-by-hilton-jakarta---diponegoro-546236|7460377|0|1566680|9027057|2486792|0.0|522226.67|3009019|13150655|0|0|13150655|4383551|0.0|0.0|4383552
2022-12-29 20:41:15.406279|Jakarta|30-12-2022|02-01-2023|3|1000000545168|Sheraton Grand Jakarta Gandaria City Hotel|Sheraton Grand Jakarta Gandaria City Hotel|Kebayoran Lama Utara, Jakarta|5.0|8.9|1579|Mengesankan|-6.2452633|106.7830351|9958300||Restoran show cooking, Winery, Sewa mobil, Fasilitas bisnis, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar|hotel/indonesia/sheraton-grand-jakarta-gandaria-city-hotel-1000000545168|8230000|1728300|0|9958300|2743333|576100.0|0.0|3319433|10973333|2304400|0|13277733|3657777|768133.33|0.0|4425911
2022-12-29 20:41:15.406307|Jakarta|30-12-2022|02-01-2023|3|48666|Millennium Hotel Sirih Jakarta|Millennium Hotel Sirih Jakarta|Tanah Abang, Jakarta|4.0|8.6|4969|Mengesankan|-6.182667002467954|106.81670638161472|3431560||Transportasi ke pusat perbelanjaan, Sewa mobil, Aksesibel bagi penyandang disabilitas|hotel/indonesia/millennium-hotel-sirih-jakarta-48666|2836000|0|595560|3431560|945333|0.0|198520.0|1143853|3781333|0|794080|4575413|1260444|0.0|264693.33|1525138
2022-12-29 20:41:15.406338|Jakarta|30-12-2022|02-01-2023|3|3000010007726|Teraskita Hotel Jakarta managed by Dafam|Teraskita Hotel Jakarta managed by Dafam|Cawang, Jakarta|4.0|8.6|9335|Mengesankan|-6.245687|106.87465|5820000||Restoran show cooking, Layanan pijat, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Spa, Bar|hotel/indonesia/teraskita-hotel-jakarta-managed-by-dafam-3000010007726|4809917|0|1010083|5820000|1603305|0.0|336694.33|1940000|8016530|0|1683470|9700000|2672176|0.0|561156.67|3233333
2022-12-29 20:41:15.406368|Jakarta|30-12-2022|02-01-2023|3|2000000098393|Lumire Hotel & Convention Center|Lumire Hotel & Convention Center|Senen, Jakarta|4.0|8.5|8924|Mengesankan|-6.1759450247056895|106.84034395092624|3050000||Layanan pijat, Pusat kebugaran, Bilyar, Aksesibel bagi penyandang disabilitas, Sauna, Check-out ekspress, Pusat kebugaran, Bar|hotel/indonesia/lumire-hotel--convention-center-2000000098393|2520662|0|529338|3050000|840220|0.0|176446.0|1016667|3360883|0|705784|4066667|1120294|0.0|235261.33|1355556
2022-12-29 20:41:15.406396|Jakarta|30-12-2022|02-01-2023|3|3000010007129|Royal Kuningan Hotel|Royal Kuningan Hotel|Rasuna Said, Jakarta|4.0|8.5|6678|Mengesankan|-6.206681|106.830269|9234378||Aksesibel bagi penyandang disabilitas, Check-out ekspress|hotel/indonesia/royal-kuningan-hotel-3000010007129|7631718|0|1602660|9234378|2543906|0.0|534220.0|3078126|8479685|0|1780735|10260420|2826561|0.0|593578.33|3420140
2022-12-29 20:41:15.406422|Jakarta|30-12-2022|02-01-2023|3|286716|Pullman Jakarta Central Park|Pullman Jakarta Central Park|Tanjung Duren, Jakarta|5.0|8.5|2590|Mengesankan|-6.17646|106.790028|10326140|||hotel/indonesia/pullman-jakarta-central-park-286716|8534000|1792140|0|10326140|2844666|597380.0|0.0|3442047|11378667|2389520|0|13768187|3792889|796506.67|0.0|4589396
2022-12-29 20:41:15.406449|Jakarta|30-12-2022|02-01-2023|3|72900|Manhattan Hotel Jakarta|Manhattan Hotel Jakarta|Rasuna Said, Jakarta|5.0|8.3|8621|Mengesankan|-6.225193013149259|106.83132114484403|8165000||Tanda khusus bagi tuna netra, Dapur kecil, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar|hotel/indonesia/manhattan-hotel-jakarta-72900|6747934|0|1417066|8165000|2249311|0.0|472355.33|2721667|8997245|0|1889422|10886667|2999081|0.0|629807.33|3628889
2022-12-29 20:41:15.406479|Jakarta|30-12-2022|02-01-2023|3|3000010005467|Swiss-Belinn Simatupang Jakarta|Swiss-Belinn Simatupang Jakarta|Lebak Bulus, Jakarta|3.0|8.5|7329|Mengesankan|-6.291379|106.779478|2930000||Bar, Sewa mobil, Layanan pijat, Pusat kebugaran, Antar-jemput bandara, Spa, Pusat kebugaran, Bar|hotel/indonesia/swiss-belinn-simatupang-jakarta-3000010005467|2421487|0|508513|2930000|807162|0.0|169504.33|976667|3228649|0|678018|3906667|1076216|0.0|226006.0|1302222
2022-12-29 20:41:15.406503|Jakarta|30-12-2022|02-01-2023|3|4000000956122|InterContinental Hotels JAKARTA PONDOK INDAH|InterContinental Hotels JAKARTA PONDOK INDAH|Pondok Indah, Jakarta|5.0|8.9|1455|Mengesankan|-6.264619|106.782179|16372221||Pusat kebugaran, Bar|hotel/indonesia/intercontinental-hotels-jakarta-pondok-indah-4000000956122|13956986|1150134|1265101|16372221|4652328|383378.0|421700.33|5457407|18609367|1533564|1686748|21829679|6203122|511188.0|562249.33|7276560
2022-12-29 20:41:15.406527|Jakarta|30-12-2022|02-01-2023|3|111546|Grand Tropic Suites Hotel|Grand Tropic Suites Hotel|Tanjung Duren, Jakarta|4.0|8.0|5554|Nyaman|-6.171492499999999|106.7876258|3670000||Tennis meja, Area main anak, Pusat kebugaran, Sauna, Pusat kebugaran|hotel/indonesia/grand-tropic-suites-hotel-111546|3033057|0|636943|3670000|1011019|0.0|212314.33|1223333|4044076|0|849257|4893333|1348025|0.0|283085.67|1631111
2022-12-29 20:41:15.406561|Jakarta|30-12-2022|02-01-2023|3|950|Le Meridien Jakarta|Le Meridien Jakarta|Sudirman, Jakarta|5.0|8.7|377|Mengesankan|-6.2133933|106.81866790000004|7260000||Klub malam, Penitipan anak, Antar-jemput bandara, Sauna, Spa|hotel/indonesia/le-meridien-jakarta-950|6000000|1260000|0|7260000|2000000|420000.0|0.0|2420000|8000000|1680000|0|9680000|2666666|560000.0|0.0|3226667
2022-12-29 20:41:15.406591|Jakarta|30-12-2022|02-01-2023|3|813|Gran Melia Jakarta|Gran Melia Jakarta|Kuningan, Jakarta|5.0|8.8|1759|Mengesankan|-6.2345030560441215|106.83007767857362|6777833||Jacuzzi, Klub malam, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar|hotel/indonesia/gran-melia-jakarta-813|5601515|0|1176318|6777833|1867171|0.0|392106.0|2259278|6015515|0|1263258|7278773|2005171|0.0|421086.0|2426258
2022-12-29 20:41:15.406618|Jakarta|30-12-2022|02-01-2023|3|3000010010313|Swiss-Belhotel Pondok Indah|Swiss-Belhotel Pondok Indah|Pondok Indah, Jakarta|4.0|8.5|4538|Mengesankan|-6.28759|106.779704|4270000||Sewa mobil, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran, Bar|hotel/indonesia/swiss-belhotel-pondok-indah-3000010010313|3528925|0|741075|4270000|1176308|0.0|247025.0|1423333|4705233|0|988100|5693333|1568411|0.0|329366.67|1897778
2022-12-29 20:41:15.406647|Jakarta|30-12-2022|02-01-2023|3|46085900000|Holiday Inn Express JAKARTA PLUIT CITYGATE|Holiday Inn Express JAKARTA PLUIT CITYGATE|Pluit, Jakarta|3.0|8.4|5158|Mengesankan|-6.127151|106.79044|3165336||Pusat kebugaran|hotel/indonesia/holiday-inn-express-jakarta-pluit-citygate-46085900000|2698108|222571|244657|3165336|899369|74190.33|81552.33|1055112|3597478|296814|326260|4220552|1199159|98938.0|108753.33|1406851
2022-12-29 20:41:15.406674|Jakarta|30-12-2022|02-01-2023|3|148771|Hotel Santika Premiere Slipi Jakarta|Hotel Santika Premiere Slipi Jakarta|Slipi, Jakarta|4.0|8.6|6308|Mengesankan|-6.198277|106.802312|3950000||Aksesibel bagi penyandang disabilitas|hotel/indonesia/hotel-santika-premiere-slipi-jakarta-148771|3264463|0|685537|3950000|1088154|0.0|228512.33|1316667|4352617|0|914050|5266667|1450872|0.0|304683.33|1755556
2022-12-29 20:41:15.406700|Jakarta|30-12-2022|02-01-2023|3|1000000486214|Fairmont Jakarta|Fairmont Jakarta|Senayan, Jakarta|5.0|8.9|1045|Mengesankan|-6.221751|106.798688|19420500||Penitipan anak, Check-out ekspress|hotel/indonesia/fairmont-jakarta-1000000486214|16050000|3370500|0|19420500|5350000|1123500.0|0.0|6473500|21400000|4494000|0|25894000|7133333|1498000.0|0.0|8631333
2022-12-29 20:41:15.406727|Jakarta|30-12-2022|02-01-2023|3|71938|Redtop Hotel & Convention Center|Redtop Hotel & Convention Center|Pecenongan, Jakarta|4.0|8.5|4209|Mengesankan|-6.163276663123464|106.82683223677066|3640354||Bayar saat Check-in, Restoran show cooking, Bar, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar|hotel/indonesia/redtop-hotel--convention-center-71938|3008557|0|631797|3640354|1002852|0.0|210599.0|1213451|3166902|0|665050|3831952|1055634|0.0|221683.33|1277317
